Rank,Name,Pos,Team,Region,Seed,Games,Points,Rebs,Asts,Stls,Turns,Blocks,Per Gm Prj,Prj Scr,ADP,Sal
698,Nicolas Louis-Jacques,G,COLG,Midwest,15,31,2,0.32,0.19,0.03,0.26,0.03,2,2,1000,0
699,Toibu Lawal,F,VCU,West,12,23,1.43,1.22,0.13,0.17,0.52,0.3,1.43,1.87,1000,0
700,Breon Pass,G,NCST,South,11,29,1.52,0.83,0.28,0.38,0.55,0.03,1.52,1.97,1000,0
701,Kobe Young,G,BSU,West,10,27,1.41,1.7,0.26,0.11,0.19,0.19,1.41,1.97,1000,0
702,Michael Jefferson,G,IONA,West,13,20,1.95,1.75,1,0.45,0.7,0.05,1.95,1.95,1000,0
703,AJ Casey,F,MIA,Midwest,5,26,1.04,1.15,0.19,0.04,0.12,0.23,1.04,1.77,1000,0
704,Jacob O'Connell,F,PRIN,South,15,17,1.76,1.18,0.47,0.18,0.24,0.12,1.76,1.76,1000,0
705,Jamel Horton,G,MISS-ST,Midwest,11,14,1.43,1,1.36,0.36,0.93,0.07,1.43,1.86,1000,0
706,Souleymane Doumbia,C,TCU,West,6,19,0.84,1,0.05,0.21,0.16,0.05,0.84,1.43,1000,0
707,Talin Lewis,G,HOW,West,16,12,1.83,0.5,0.25,0.08,0.58,0,1.83,1.83,1000,0
708,Elijah Saunders,F,SDSU,South,5,14,1,1.21,0.57,0.07,0.5,0.07,1,1.7,1000,0
709,Khalil Robinson,G,HOW,West,16,26,1.81,1,1.04,0.27,0.54,0,1.81,1.81,1000,0
710,Riley Mulvey,C,IOWA,Midwest,8,12,0.92,0.92,0.17,0.08,0.08,0.42,0.92,1.38,1000,0
711,Ronnie DeGray,F,MIZZ,South,7,17,2.06,1.76,0.24,0.47,0.24,0.41,1.03,1.65,1000,0
712,LJ Wells,F,NKU,Midwest,16,24,1.63,2.04,0.38,0.42,0.29,0.17,1.63,1.63,1000,0
713,Alex Capitano,G,COLG,Midwest,15,11,1.73,0.36,0.18,0,0,0,1.73,1.73,1000,0
714,Brandon Lieb,C,ILL,West,9,17,0.88,1,0.12,0,0.29,0.41,0.88,1.32,1000,0
715,Oziyah Sellers,G,USC,East,10,23,1.22,0.3,0.22,0.13,0.04,0.04,1.22,1.7,1000,0
716,Luca Colceag,F,MTST,East,14,9,1.56,1.33,0.11,0,0.22,0,1.56,1.56,1000,0
717,Isaiah Richards,F,LA,East,13,31,1.55,2,0.13,0.29,0.48,0.19,1.55,1.55,1000,0
718,Joe Anderson,G,FUR,South,13,19,1.63,0.58,1.63,0.47,0.42,0.05,1.63,1.63,1000,0
719,Brayden Reynolds,G,FDU,East,16,29,1.62,0.93,1,0.41,0.48,0.03,1.62,1.62,1000,0
720,Jorge Ochoa,F,VERM,East,15,10,1.5,0.5,0.1,0.1,0.3,0.1,1.5,1.5,1000,0
721,Russell Stong,G,UCLA,West,2,10,0.4,0.7,0,0,0,0,0.4,1.6,1000,0
722,Nick Gazelas,G,MTST,East,14,28,1.57,0.5,0.36,0.21,0.43,0,1.57,1.57,1000,0
723,Caelum Swanton-Rodger,C,MD,South,8,20,0.8,0.75,0,0,0.2,0.15,0.8,1.2,1000,0
724,Connor Kern,C,AMCC,South,16,15,1.2,1.47,0,0.13,0.27,0.33,1.2,1.2,1000,0
725,Cade Alger,F,SDSU,South,5,7,0.86,0.29,0,0,0,0,0.86,1.46,1000,0
726,Ose Okojie,G,HOW,West,16,27,1.56,1.15,0.44,0.44,0.63,0.04,1.56,1.56,1000,0
